,Unnamed: 0,Date,Symbol,Expiry,Option Type,Strike Price,Open_x,High_x,Low_x,Close_x,Last,Settle Price,Number of Contracts,Turnover_x,Premium Turnover,Open Interest,Change in OI,Underlying,Open_y,High_y,Low_y,Close_y,Volume,Turnover_y,AnnualVolatility365,AnnualVolatility254,logreturns,Days_to_Expiry,Range,UpperRange,LowerRange,Delta365,Theta365,Rho365,Vega365,Gamma365,CalcIV365
0,0,2017-08-23,BANKNIFTY,2017-09-07,CE,23500,0.0,0.0,0.0,585.85,0.0,920.05,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.898367982742,-11.3414755837,8.57919030911,8.7539742906,0.000234737236746,1e-05
1,1,2017-08-23,BANKNIFTY,2017-09-07,PE,23500,0.0,0.0,0.0,125.0,125.0,42.95,0,0.0,0,40,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.101632017258,-3.65345535012,-1.03083498283,8.7539742906,0.000234737236746,1e-05
2,2,2017-08-23,BANKNIFTY,2017-09-07,CE,23600,0.0,0.0,0.0,531.25,0.0,833.85,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.871983589253,-11.9591817587,8.35148759382,10.3175817265,0.000276665265853,1e-05
3,3,2017-08-23,BANKNIFTY,2017-09-07,PE,23600,0.0,0.0,0.0,400.1,0.0,56.5,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.128016410747,-4.23844654543,-1.29943142277,10.3175817265,0.000276665265853,1e-05
4,4,2017-08-23,BANKNIFTY,2017-09-07,CE,23700,0.0,0.0,0.0,480.05,0.0,750.85,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.841321918842,-12.5662604031,8.0798338553,11.9291475941,0.000319879297107,1e-05
5,5,2017-08-23,BANKNIFTY,2017-09-07,PE,23700,0.0,0.0,0.0,447.75,0.0,73.25,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.158678081158,-4.81281021011,-1.61197888593,11.9291475941,0.000319879297107,1e-05
6,6,2017-08-23,BANKNIFTY,2017-09-07,CE,23800,0.0,0.0,0.0,432.05,0.0,671.45,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.806361420434,-13.1340735293,7.76383747761,13.533301902,0.000362894587883,1e-05
7,7,2017-08-23,BANKNIFTY,2017-09-07,PE,23800,0.0,0.0,0.0,100.0,100.0,93.55,0,0.0,0,40,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.193638579566,-5.34790835658,-1.96886898827,13.533301902,0.000362894587883,1e-05
8,8,2017-08-23,BANKNIFTY,2017-09-07,CE,23900,0.0,0.0,0.0,387.5,0.0,595.9,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.767241750305,-13.6319992338,7.40472172659,15.0682709819,0.000404054681383,1e-05
9,9,2017-08-23,BANKNIFTY,2017-09-07,PE,23900,0.0,0.0,0.0,553.0,0.0,117.8,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.232758249695,-5.81311908135,-2.36887846393,15.0682709819,0.000404054681383,8.4228515625
10,10,2017-08-23,BANKNIFTY,2017-09-07,CE,24000,0.0,0.0,0.0,346.25,0.0,524.95,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.724273307756,-14.0295376953,7.00542697106,16.4698344986,0.000441637513604,1e-05
11,11,2017-08-23,BANKNIFTY,2017-09-07,PE,24000,206.25,206.25,136.0,136.8,136.0,136.8,8,7730000.0,50000,320,320,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.275726692244,-6.17794256319,-2.80906694412,16.4698344986,0.000441637513604,1e-05
12,12,2017-08-23,BANKNIFTY,2017-09-07,CE,24100,0.0,0.0,0.0,308.2,0.0,458.75,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.677934968399,-14.2986181626,6.57059500094,17.6758597454,0.00047397700016,1e-05
13,13,2017-08-23,BANKNIFTY,2017-09-07,PE,24100,0.0,0.0,0.0,671.45,0.0,180.15,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.322065031601,-6.41430805072,-3.28479263888,17.6758597454,0.00047397700016,24.8594284058
14,14,2017-08-23,BANKNIFTY,2017-09-07,CE,24200,0.0,0.0,0.0,273.25,0.0,397.55,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.628859346956,-14.4158684067,6.10642825762,18.6309581854,0.000499587901127,6.1469078064
15,15,2017-08-23,BANKNIFTY,2017-09-07,PE,24200,0.0,0.0,0.0,735.4,0.0,218.65,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.371140653044,-6.49884331511,-3.78985310685,18.6309581854,0.000499587901127,31.1889648438
16,16,2017-08-23,BANKNIFTY,2017-09-07,CE,24300,0.0,0.0,0.0,241.35,0.0,341.45,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.577806234031,-14.3645977482,5.62042991983,19.2907684038,0.000517280668127,8.376121521
17,17,2017-08-23,BANKNIFTY,2017-09-07,PE,24300,0.0,0.0,0.0,802.35,0.0,262.35,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.422193765969,-6.41485767687,-4.31674516928,19.2907684038,0.000517280668127,37.3435020447
18,18,2017-08-23,BANKNIFTY,2017-09-07,CE,24400,0.0,0.0,0.0,212.3,0.0,290.6,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.52562613852,-14.1362694785,5.12104371782,19.6253977258,0.000526253731079,9.83810424805
19,19,2017-08-23,BANKNIFTY,2017-09-07,PE,24400,0.0,0.0,0.0,872.2,0.0,311.2,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.47437386148,-6.15381442745,-4.85702509594,19.6253977258,0.000526253731079,43.45703125
20,20,2017-08-23,BANKNIFTY,2017-09-07,CE,24500,146.0,210.0,144.0,188.75,180.0,188.75,75,73975000.0,475000,1680,960,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.473216947462,-13.7312954215,4.61722325517,19.6216489721,0.000526153208498,11.1045837402
21,21,2017-08-23,BANKNIFTY,2017-09-07,PE,24500,0.0,0.0,0.0,250.0,250.0,365.4,0,0.0,0,40,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.526783052538,-5.71612539076,-5.40173928324,19.6216489721,0.000526153208498,14.2288208008
22,22,2017-08-23,BANKNIFTY,2017-09-07,CE,24600,0.0,0.0,0.0,162.55,0.0,204.65,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.421477436691,-13.1590660143,4.11796797481,19.2838049482,0.000517093943531,11.8989944458
23,23,2017-08-23,BANKNIFTY,2017-09-07,PE,24600,0.0,0.0,0.0,1020.2,0.0,424.7,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,-0.578522563309,-5.1111810039,-5.94188828824,19.2838049482,0.000517093943531,55.7479858398
24,24,2017-08-23,BANKNIFTY,2017-09-07,CE,24700,0.0,0.0,0.0,141.35,0.0,169.2,0,0.0,0,0,0,24316.8,24084.95,24350.0,24074.15,24316.8,69104870,22379700000,15.34659523,12.80213683,0.01417878955,15,756.5152005,25073.3152,23560.2848,0.371261633204,-12.4372211055,3.63186574295,18.6329183151,0.000499640461875,12.6838684082
