,Date,Open,High,Low,Close,Volume,Turnover,AnnualVolatility365,AnnualVolatility254,logreturns
0,2017-01-02,18242.3,18249.0,17844.9,17969.6,74444730,18572400000.0,0.0,0.0,
1,2017-01-03,18002.75,18115.05,17830.95,18035.6,64513818,17693000000.0,0.0,0.0,0.00366614121978
2,2017-01-04,18037.45,18092.85,17868.9,17891.0,50508161,16158500000.0,0.0,0.0,-0.00804978933873
3,2017-01-05,18000.75,18164.05,17977.8,18115.95,68874940,22711800000.0,0.0,0.0,0.0124949725913
4,2017-01-06,18168.45,18325.5,18157.3,18264.0,65919927,21745900000.0,0.0,0.0,0.0081391435285
5,2017-01-09,18314.25,18373.1,18256.15,18286.65,42677260,14043800000.0,0.0,0.0,0.00123937620257
6,2017-01-10,18351.45,18441.15,18275.75,18409.6,59993426,20121800000.0,0.0,0.0,0.00670098225677
7,2017-01-11,18535.35,18889.45,18515.25,18830.0,102842482,34934700000.0,0.0,0.0,0.0225790749822
8,2017-01-12,18885.45,18966.3,18805.85,18873.95,66286062,19825400000.0,0.0,0.0,0.0023313217796
9,2017-01-13,18949.7,18952.25,18781.25,18912.1,55762182,18553000000.0,0.0,0.0,0.0020192644091
10,2017-01-16,18899.7,19134.5,18865.25,19096.45,59319825,17407700000.0,16.2112324237,13.5234175789,0.00970052504565
11,2017-01-17,19128.15,19202.25,18981.85,19067.05,63686033,18626200000.0,15.475901713,12.9100043603,-0.00154073949276
12,2017-01-18,19074.85,19276.5,19072.1,19164.5,56898977,18713800000.0,16.1121921669,13.440798151,0.00509789485639
13,2017-01-19,19165.35,19185.3,19046.1,19124.25,83679399,24097800000.0,13.3245708622,11.1153631704,-0.00210244600967
14,2017-01-20,18996.6,19071.65,18793.05,18820.8,110140976,38559000000.0,13.7401918409,11.4620743829,-0.0159945220333
15,2017-01-23,18762.0,18909.65,18722.85,18842.7,97144867,32324500000.0,18.6570109581,15.5636871625,0.00116292975789
16,2017-01-24,18931.0,19054.3,18906.95,19023.5,81717037,31186200000.0,18.6599987073,15.5661795443,0.00954948603069
17,2017-01-25,19120.05,19518.45,19114.15,19473.2,131028002,46726700000.0,18.9662505537,15.8216549761,0.0233641042852
18,2017-01-27,19588.4,19794.95,19534.9,19708.3,157251635,46547900000.0,19.2933156815,16.0944928568,0.0120007055128
19,2017-01-30,19718.8,19767.05,19561.1,19585.25,71178678,21133700000.0,19.9574576497,16.6485203936,-0.00626313490323
20,2017-01-31,19533.2,19624.1,19435.45,19515.15,67343878,23316600000.0,20.9483431873,17.475117567,-0.00358564490928
21,2017-02-01,19522.4,20047.85,19470.95,20020.6,145906975,45498500000.0,20.8905778261,17.4269296759,0.0255706564698
